,Ratings,Reviews
0,5.0 out of 5 stars,"Audio Technica has a huge reputation for the best headphones. These headphones are clear, crystalline, and the best you could get for this price. HOWEVER, for the 1 star review, you are NOT SUPPOSED TO WORK OUT WITH THESE HEADPHONES."
1,1.0 out of 5 stars,"Honestly, would recommend you stay away from this product. I have been through 4 pairs of these headphones in 1 year. Yes, you read that right. 4 pairs. While they were working, they were OK.

Positives:
1. They had decent audio quality. Voice and music sounded good and people could hear me while using them to make calls.
2. They were comfortable most of the time.
3. The bluetooth reception was good.

Negatives:
1. Expensive.
2. They lasted from between a few months to a few weeks. Each pair would either: melt, or just stop working for no apparent reason.
They are only suitable for sport if you don't sweat a lot. If you do, they channel sweat down into your ear canal and they lose grip around your ears and can easily fall off.
The mini rubber band that is meant is to keep them secured snugly around the back of you neck is useless. It doesn't hold them there.

Massive Negatives:
1. Customer support here in Taiwan where I bought them. Each time they broke, the shop would send them off for repair and I would need to wait 2 working weeks to get them back. So that was close to 10 weeks I was without the product. After the 4th pair broke I had enough and had to wade through endless customer support calls to eventually get to the dead end of 'No refund - this is our company policy'."
2,5.0 out of 5 stars,"I have been searching for wireless headphones to use with my Bluetooth surround system so that I can watch TV and not disturb my wife. While these are not Bluetooth headphones, I was able to easily use them with my surround system by using a Toslink splitter (http://www.amazon.com/gp/product/B00G191YL8?psc=1&redirect=true&ref_=oh_aui_detailpage_o01_s00), Toslink cable (http://www.amazon.com/gp/product/B004CANMCM?psc=1&redirect=true&ref_=oh_aui_detailpage_o00_s00) and digital to stereo converter adapter (http://www.amazon.com/gp/product/B00KCRYIWM?psc=1&redirect=true&ref_=oh_aui_detailpage_o00_s00).

Audio-Technica headphones have a wonderful reputation and these headphones definitely live up to that reputation. While I am not an audiophile, the headphones produce immersive surround sound off very high quality. I like that the headphones rest in the charging base.

I was nervous about purchasing a product that is not sold in the United States, but I had an incredibly positive experience purchasing the headphones from Japan Import Shop Rise. They provided very clear communications about the progress of the shipment from Japan and the package arrived 2 weeks ahead of schedule even though I didn't request expedited shipping. I would strongly recommend these headphones to anyone in the market for wireless headphones."
3,4.0 out of 5 stars,"I've spent a long time in the following comparison, so I decided to write the results, to make other people save the time I've ""lost"" :)

I was looking for a small, portable, good looking and good sounding On-Ear or ""mini Around the Ear"" Bluetooth Headphones to use for music on the Bus and while I do Fitness, and eventually at home, so I have bought a few ones to compare.

I've compared:
Sennheiser MM400-X
Jabra Revo Wireless
Bose Soundlink On-Ear
Philips Fidelio M1BT
Sony MDR-10RBT
= All the best and portable enough Bluetooth headphones available at the moment.

I've compared them for many weeks, with my Xperia Z1 Compact (APTX support) + Neutron as Music Player, and with my PC (which gets Bluetooth+APTX through an Azio BTD-V401 Dongle and a Sennheiser BTD 500 Dongle, which I also wanted to compare. See my other reviews for that. Or simply avoid the Azio!) + MusicBee as player.
I've used many different musical genres, mostly MP3 of different qualities, some Flac, and some CDs.
I've tested each headphone at first without EQ, then with EQ to see how much can their lacks and excesses be compensated with EQ.

Very quickly I understood that the Bose and the Philips were clear winners.
It was more difficult, to be honest, to chose between them two.
Although the Fidelio sounded better, with more detail and soundstage, crispier highs, and a wonderful fat vibrant bass, the Bose also sounded very good and had other advantages.
I initially declared Bose as winner, because of their better portability, better comfort, slightly better range, and their ability to connect with two devices at same time (= Multipoint).
But somehow I have then missed the Fidelio, so when the M2BT came out here in EU, I decided to try them. And I just could not let them go anymore.
Not only they even slightly improved the original sound of the M1BT, but also added Multipoint, NFC, and softer ear-pads.
The Bose are still more comfortable and more portable and have some other advantages, and sound very good, but in this moment they are for me N°2 for ""best mix of portability and sound"", and one of the best overall among more than 20 BT Headphones tested. Not bad at all.

EDIT: it seems that the Bose Soundlink On-Ear have compatibility problems with iOS devices, which cause intermittent connectivity and skipping music. It is not clear to me if this problem happens always to all iOS users or just on some units, but given this risk I would suggest to buy them only where you can return them in case of problems. Like here in Amazon.
I am waiting for an answer from Bose about this. For now I only know they are aware of it and are searching for a solution which could be applied via firmware update.
Android and Windows users are not affected by this issue.

So, the comparison:

Bose Soundlink On-Ear.
PROS:
Light, small and foldable. You can even keep them in the pocket of your jacket.
Elegant form and small dimension = Look good and discrete on the head
Fit tightly enough to do fitness, and still feel gently and soft on the ears for many hours.
The overall sound is impressive, considering how small they are, and the absence of APTX.
The ""tone"" or quality of the sound is pleasantly ""fresh"", like I prefer, and still they're balanced enough not to miss any part of the spectrum. Neither too warm nor too cold.
The Highs are well represented and never ""ear-hurting"".
The mids/vocals are not so warm like in the Revo, but are still near and present.
The basses are actually surprising for something so little. They are not vibrant like the Fidelio, but still strong and punchy enough to make you move the head while listening to your favorite Techno theme, especially after some EQ.
The soundstage is not thrilling, but is quite ok for such a small and on-ear headphone.
The detail is also quite good.
You can turn them on and off very quickly due to the analogical lever.
They have got voice prompts which tell you ""connecting to..."", the state of the battery, and more.
You can connect them to two devices at same time! This means, you can listen to music on your PC, and still be able to receive a phone call from your mobile phone. The music on the PC is automatically stopped when you receive a call, but on my experience you still have to close the music player on the PC or there are interferences. Occasionally I even had to disconnect the Headphones from the PC to avoid clips while talking. Not a big deal. After all, it's an exclusive extra. But it should be improved with a new firmware.
Firmware can be updated via USB
Nice semi-rigid carrying case

CONS:
one single button to pause the music and go to the next/previous track. Not the best solution. Three clicks for the previous track is a bit annoying.
They have no APTX. I am convinced that the APTX would give them more detail.
They require a mini jack if you want to use them with a cable. The cable is anyway included.
The speakers cannot turn 90° in flat position. This allow the Bose to fold smaller in the pocket of your jacket, but makes them thicker than the Fidelio in a backpack, especially once in their carrying case.
The carrying case also compresses them a bit. If you leave them in the case for some days you will find that the soft pads are pressed. Do not panic, it is memory foam, give them a while and they come back normal. Anyway, Bose, this should be improved.
The two LED on the back of the right speaker cannot be disabled, but at least do not blink.
They are expensive.

Philips Fidelio M1BT:
PROS:
They look very good. Elegant. And although bigger than the Bose, still discrete enough.
The buttons are practical: a click on the right speaker to pause/resume. A lever for volume up/down. A click on the lever for the next track, two for the previous track.
They fit tightly and are still comfortable enough.
The overall sound is surprisingly good, actually excellent. A bit warmer and punchy than the Bose, and still very well balanced.
The Highs were crispier and more detailed, just more balanced by the warm mids and vibrant bass, so that on a first listening they do not stand out as much as on the Bose.
The mids are very nice, warm and soft.
The basses are wonderful. They are warm and vibrant. The best among these five Headphones. It is not a matter of quantity but of quality. I can say so: the Bose and the Revo can make you move the head, but only the Fidelio make you smile when the bass line comes... Specially the Sub-Bass ist the best among all BT Headphones I've tested, close to the one of the UE9000, with a wonderful warm gentle rumble, but also with enough Punch.
The Soundstage is better than in the Bose, making them sound a bit more spacious and open, a bit less ""right near the ear"".
They are also more detailed than the Bose, probably thanks to the APTX (Unfortunately I could not test them without APTX).

CONS:
Simple soft bag instead of a carrying case. There is no chance that you can put them quickly in the bag without taking the bag off the backpack first.
Blinking led on the right speaker, which cannot be deactivated
Not foldable (but the speakers can be turned of 90° making them at least thinner than the Bose). I just cannot imagine a valid reason to make bluetooth headphones which are not foldable, but well, nothing is perfect.
TOO slow to turn off (very long click needed). This is annoying. Often I thought that I had already turned them off, and they were still on.
Cheaper than the Bose but still not exactly cheap, and the new model (M2BT), which adds NTFC and supposedly goes even deeper in the bass frequencies, costs as much as the Bose.

EDIT: a quick note about the Fidelio M2BT: it is the same as the M1BT, plus NFC, Multipoint, softer Ear-pads, different color (black over dark blue), different material for the head-band (textile instead of leather), a slightly improved Soundstage due to a different DSP, and a wider Frequency response which is not clearly noticeable on a first listening because it goes way beyond the frequencies we can normally ear. Still, this wider frequencies somehow indirectly improves the sound, giving some more sub-bass and more clarity in the highs.
One negative aspect of the M2BT is that on some units the Multipoint causes connectivity problems. In this case anyway, differently than for the Bose, they can be solved resetting the Headphones a couple of times.

So, why did the other three lose the competition?

JABRA REVO WIRELESS
They are beautiful, I liked their mix of discrete Olive and lively subtle Orange lines. But I prefer the Bose for discretion and the Fidelio for elegance.
They sound warm, yes, but somehow a bit muffled. Probably because they lack highs and a bit upper mids.
With some EQ and a bit of Reverb this improves, but they never sounded lively and open enough to me, having tried the other ones which sound brighter.
They've got less punch than the Fidelio on the bass, more or less on pair with the Bose. With maybe (and I liked this) a tiny bit more rumble than the Bose. To give you an idea, I enjoyed more watching a film with the Revo than with the Bose, because the Revo had more this warm rumble effect of cinema speakers.
The touch controls are cool but also a pain in the A. EVERY SINGLE TIME that I wanted to reach the central button to pause the music I finished turning the volume up or down. Same story for changing track.
The bag is a joke. Period.
They are a bit more comfortable than the Fidelio on long-term, but do not fit tight enough to do fitness.
They have got NFC, yes, but no APTX. If you really need NFC (but, why?) you could have a look to the new Fidelio M2BT.
The improvement given by the Dolby App is only while using that App as a music player (which has got no folder browser. I do not know you, but I like to organize my music in folders), and it does not bring the Revo to the level of the Fidelio for soundstage and detail, or of the Bose for freshness and balance.
They have a wonderful orange cable covered in Fabric, with a Mic to use them as Headset also in cable mode. This is, I must admit, a nice point. I really liked the cable :D

Sennheiser MM400-x:
they look EXTREMELY AWFUL and make your head seem like a Rugby Ball in horizontal position like the kid of Family Guy.
They sound sterile. Boring. The sound is quite detailed (APTX), clear, and fresh, even if with not much soundstage. But it is ""cold"", unemotional. And it completely lacks punch. Hearing Techno with them is like reading a recipe when you are hungry.
They are the more portable, and have a removable battery. This means, you can buy an extra battery and be sure to never stay out of charge.
The buttons are practical. The carrying case too.
They are very light and comfortable, and still tight enough to do fitness.
The good is that at least in EU you can find them cheaper than any of the others if you buy them from the Outlet of Sennheiser. 109 Euro!!!

Last and least, Sony MDR-10RBT:
They look cheap. The ""silver"" plastic is very bad taste. They are also too big to go around.
They are Around the Ear, which makes them the most comfortable of the five on long term, and also gives them a good Soundstage, although for some reason the sound of these Sony tends to come from behind. This is for me very disturbing. The sound should come mostly from the front, or from everywhere like if you are in the middle.
Also, they do not fit tightly enough, and according to how you move your head they leak sound and you lose basses.
The overall sound is dark and dull. Too much upper bass and low mid.
Bass is relatively strong but muffled, not lively, not clean.
They have APTX, but Sony ships them with the APTX disabled as default. To enable it you must press a combination of buttons till the led blinks three times. In my tests the led did not blink the way Sony declared, and I could only confirm the APTX via notifications on my Phone.
The best thing on these headphones is the carrying bag. Robust, a bit rigid, you can manage to slip the headphones in the bag in the middle of a crowded backpack.
Another good thing on the Sony are the buttons. Two buttons for the volume, one lever for pause/next track/previous track. IMO the best solution together with the five buttons of the Sennheiser.

So..., making a list:

Overall Sound:
1) Fidelio
2) Bose
3) Revo
4) Sennheiser
5) Sony

Basses:
1) Fidelio
2) Bose and Revo
3) Sony (n°1 for quantity, n°5 for quality)
4) Sennheiser

Detail and Soundstage:
1) Fidelio
2) Bose and Sennheiser
3) Sony (would be at the first place for Room if the sound would not come from behind)
4) Revo

Portability:
1) Sennheiser
2) Bose
3) Fidelio
4) Sony and Revo (Sony because of the better bag and flat turning speakers even if bigger dimensions, Revo because foldable).

Look:
1) Bose and Fidelio
2) Revo
3) Sony
4) no. Sorry. Sennheiser just NO. The designer should be ashamed...

Battery:
1) Sony and Bose (more or less 15 hours)
2) Fidelio, Jabra and Sennheiser (more or less 10 Hours, with Sennheiser giving the chance to buy an extra battery as reserve)

Comfort:
1) Sony (because Around the Ear)
2) Bose and Sennheiser
3) Revo and Fidelio (specially the new M2BT)

Bluetooth Range:
1) Bose and Sony
2) Fidelio and Revo
3) Sennheiser

Functions:
1) Bose and Fidelio (clear winners for the double connectivity)
Then the others are more or less the same, each with little pros and cons.

EDIT: In the last months I have tested many more Headphones (more than 30). Some of them portable enough to be in this review.
But I just cannot make such a huge review, so I have opened a Thread on Head-Fi, which actually became very successful. It is called ""Huge Comparison of [almost] all the best Bluetooth Headphones"". If you visit us there, we will be pleased to help you finding the right BT Headphone for you.
Here I can only say that my favourite ""portable BT Headphone"" is now the AKG Y45BT. And my favourite main BT Headphone is the Audio Technica ATH-WS99BT.
If you want to know why, visit my Thread, and ask :D

Well, I hope this was helpful to you, and feel free to ask for what else you would like to know, or to comment if you have found some other very good sounding and very portable BT Headphone!"
4,3.0 out of 5 stars,"I have had these headphones for more than a year now. I use them almost everyday, through day at work and afterwards to study. However, in the last few months, the earpad cushions have gradually torn off and right now are almost falling off the earphones themselves. I am shocked to say the least. I have really enjoyed these earphones, they have really been quite functional for me. But i really don't understand how the ear pad cushions get torn after just over a year of use, i thought they were built to last. I really would not mind replacing the ear pad cushions, but i don't even know how to go about that. Would appreciate some feedback, first on if this is supposed to happen and if yes, how does one replace them, because the earphones themselves seem fine and it would be a shame to have to abandon them, because they earpads have finally torn off. Attached pictures"
5,5.0 out of 5 stars,"I purchased the Beats Solo 2 and this Bose On-ear wireless at the same time to see which one I liked. Bose was a clear winner for me. The Beats headset was really snug and I could see it being uncomfortable with long time wear. Also the Bose is significantly lighter than the Beats. I tried out the Bluetooth and it works very well. I was able to leave my phone in one room and walk all over my apartment into other rooms while talking on the phone clearly. I like the sound better on the Bose as well, vocals are more crisper. I have small ears and had trouble with earbuds fitting properly and I'm glad to find a set of headphones that sit comfortably on my ears. I also tried the around-ear bose wireless and they were nice too, but too large for my head, i can see the around-ear headphones blocking out more environmental noise though. These on-ear Bose headphones do a great job for me, looking forward to traveling with these."
6,5.0 out of 5 stars,"This purchase is one of the nicest things I have done for myself. I use head phones so I don't disturb my apartment neighbors and these set me free from the headphone cord. Thanks, Bose, for a superior product. I chose the on ear set because I wear glasses and find the over ear headphone end up hurting because of the pressure on the glasses stems."
7,5.0 out of 5 stars,"Just opened the package and paired it with my iPhone 5S in 5 seconds. Great sound! I am comparing it to my Sennheiser RS 180 Digital Wireless Headphones that use an audio jack to plug into my PC.

Both display very crisp sound. The Bose unit is giving me slightly more bass, but the sound is quite pleasant. No equalizer override is being used on either device.

Before purchasing the Bose unit I was wondering if the 'over-the-ear' design would provide too much ear pressure for my comfort level. It does not. Good insulation from outside noises! It is light-weight and should not impose any ""pain"" when wearing for multiple hours.

Crisp highs and good balance along the frequency range. Both pairs of headphones took me to the same maximum frequency range that I can hear before fading out--about 12,000Hz. So my sample does not provide adequate testing for high-frequency response.

The unit is constructed solidly with strong plastic and metal which hopefully means it won't get broken from normal use. I like the padding that goes over my head and the soft rubber covers that touch my ears.

Phone calls are clean for both sides of the conversation and it works seamlessly with no buttons to push on the headphones. It is packaged with a handy storage case that contains cables for recharging and plug-in to an audio port.

It tells me that charge level when I turn it on. It tells me the name of the device I'm paired to. I paired to my iPad and iPhone at the same time and was listening to two sound tracks at once.

No skipping when connected to my iPhone. I did notice skipping when connected to a Winbook T100 (likely the fault of the Winbook).

The only downside to this item is the size of the volume/next switches on it--very small to find/access/operate. This may improve with practice."
8,4.0 out of 5 stars,"Sound is very satisfying. Phone calls are good also, but still sounds odd to me when both ears are covered. I hear my voice in my head rather than through the air and then into my ears - if that makes sense. Pairs easily with two devices at once and plays music (or GPS voice) on either. Other bluetooth devices I've had would pair with two devices, but only play music from the first device paired. Feels more comfortable to me than the around the ear ones that I tried also. My negative with these is that if you're going to be very active, these WILL slide from the top of your head. If I'm walking, they're great, but if you bend over, the top slides off my head and I have to catch them. The around-ear ones are more secure, but also hotter and not as comfortable to me. With the around-ear model I tried, there was limited room to adjust them on my head when they started to feel uncomfortable. With these sitting on the outside of my ears, I can just do a slight shift forward or back or even up or down and it feels better."
9,5.0 out of 5 stars,"These are the third set of Bluetooth headphones I've owned, and easily the best. In evaluating Bluetooth headphones I find one has to look at battery life, Bluetooth range, and ease of pairing along with the criteria for traditional wired phones (i.e., sound quality, comfort and fit, construction quality). So, I'm going to focus a bit on these aspects.

My first pair were from Sony - DRBT50's - and were okay. They're well-built and comfortable, and of the over-the-ear design I prefer for headphones. They paired easily and the battery life was decent but not great. They charged via a separate AC adapter, which some people would find more convenient, whereas I prefer phones that charge via a USB cable and computer. It's easy to find an AC adapter to use with a USB cable, but not so easy to remember to carry around a proprietary charger. The sound of this set was middling, but they were among the first available, so I found the sound acceptable since there weren't many options without spending a fortune. Range was only average, they began to cut out about 15 feet from the sound source.

My second set were Parrot Ziks. Frankly, I hated them though they were the darling of the audiophile class when I bought them. The design is totally quirky IMO. They're bulky, and they earpieces didn't extend far enough for me to get a comfortable fit. They don't come with a case, though they certainly should for the price. Pairing was a nightmare with every device I tried though I eventually got them working with everything (phone, iPad, computer). Tech support was nonexistent, though it may have improved; I don't know. One feature I liked was the replaceable battery, permitting one to buy and carry a spare. Another was the ""tap to control"" feature for volume adjustment. Sound was stellar, but to me that was the only strength to these otherwise overpriced phones. Range was good, not great; about 20 feet maximum with no obstructions.

That brings me to the Bose. I'd prefer an over-the-ear design, but at least these are very good for an on--the-ear design. They fit well and are extremely comfortable, they just don't block out as much ambient sound as I wish they did. I also wish they were noise canceling. Battery charging is easy using the supplied USB cable (and since I had a ton of similar cables laying around and always keep one in my briefcase to charge other stuff it means I'll never be without a means to charge them). Battery life is fantastic, I regularly get the claimed 15 hours. I also like having the controls on the rear of the right earpiece. They work flawlessly for adjusting volume, skipping songs, etc. Early wired phones had no way of controlling any of these; while later wired ones do, usually via a cable in-line design, they tend to be iffy in my experience, working with some devices (often only ones from Apple) but not others. That kept me wedded to my iPod when I'd have preferred to simply use my phone (currently an iPhone 6, but I've had every other generation of the iPhone as well as a Galaxy S4 and Note 2). These phones finally let me cut the cord to my iPod. I now exclusively use my iPhone, and can easily adjust volume or skip songs just using the earpiece controls. Finally, these have excellent range, about 25 feet with no walls, and 15 or so with.

Now to the sound. It's very good, comparable to the Ziks. If you're a Bose QC user you'll like these. If you prefer Beats, these will be lighter on the bass than you're used to. As a final note, you can listen to these via a supplied cable if the battery runs down, but the sound gets comparatively tinny, so it's only useful in a pinch. If these phones were over-the-ear and had noise canceling they'd be perfect, but even without those features they're still a great pair of Bluetooth phones."
